0.000000000000000000e+00,0.000000000000000000e+00,5.671296296296442913e-02
4.487998995850258410e+01,4.479162463823678308e+01,2.900124616007528999e+01
2.168729953705518554e+01,2.168477468396762475e+01,1.720826110632588168e+01
1.278229639376900728e+01,1.278353864500714110e+01,1.202121855591537170e+01
8.396062722333663686e+00,8.397105810673210158e+00,9.225218933754026907e+00
5.876389532273813110e+00,5.877140330424500014e+00,7.483775749496099472e+00
4.377553670503125716e+00,4.377682599198285729e+00,6.295234639422201184e+00
3.709158442446164550e+00,3.709165425163667873e+00,5.432233544638737754e+00
3.242688829764364122e+00,3.242689063095233859e+00,4.777520394232943168e+00
2.882212516134060376e+00,2.882212498473251117e+00,4.263673472709304413e+00
0.000000000000000000e+00,0.000000000000000000e+00,5.671296296296442913e-02
7.871306776936102700e+00,4.682608064281302518e+01,3.050879859507826808e+01
8.305529290290198929e+00,2.889759934143484443e+01,2.319322964994359637e+01
6.750134910026875268e+00,1.791008143445067091e+01,1.642994726533874328e+01
5.463341888648865385e+00,1.223805112208440704e+01,1.261801338409217799e+01
4.483783463540767400e+00,8.931837839092738207e+00,1.023657685320589295e+01
3.748988204953564995e+00,6.848291386252365776e+00,8.611083411814220767e+00
3.391851338779562575e+00,5.795369056270325281e+00,7.430627038771790538e+00
3.126968707532661096e+00,5.065812927916437225e+00,6.535055121338725570e+00
2.902754839505698126e+00,4.502597624255880504e+00,5.832175627213673330e+00
0.000000000000000000e+00,0.000000000000000000e+00,5.671296296296442913e-02
4.296040253981865398e+00,4.682608064281302518e+01,3.050879859507827874e+01
5.952630380654348130e+00,3.568401949546788643e+01,2.826504992163604868e+01
5.200239321014934468e+00,2.240301998445417198e+01,2.020875505352552892e+01
4.475584024159714680e+00,1.557045719689537933e+01,1.552612233650159901e+01
3.880630212077164298e+00,1.157574711701619208e+01,1.259612191339273224e+01
3.396006443068266822e+00,9.008127448375269353e+00,1.059600875609943671e+01
3.138874476912820288e+00,7.587152302174858143e+00,9.143526068929681117e+00
2.959198486889218049e+00,6.628818695963846430e+00,8.041512212444841268e+00
2.802431996323777152e+00,5.891530582833872209e+00,7.176605886075638097e+00
0.000000000000000000e+00,0.000000000000000000e+00,5.671296296296442913e-02
2.954198595441802855e+00,4.682608064281302518e+01,3.050879859507827874e+01
5.515129623110824220e+00,5.219857772329839918e+01,3.381734369007644858e+01
4.409873991853038078e+00,8.968210651073862394e+00,3.166558513395019148e+01
6.314479605162741649e+00,4.757624276643368688e+01,9.949315192721395817e+01
1.102149401529539574e+01,5.774831679257859207e+01,9.966406620919056536e+01
1.528869805662269954e+01,6.481082603709009504e+01,9.977853365529740870e+01
1.916525370753440427e+01,6.983823931466133672e+01,9.981201184624499945e+01
2.269558467791355127e+01,7.359960534516341113e+01,9.983872097921025102e+01
2.593266025738070368e+01,7.653298120813224159e+01,9.985606725528775485e+01
0.000000000000000000e+00,0.000000000000000000e+00,5.671296296296442913e-02
4.691548721808761258e+01,7.856306472695635534e+00,3.050879859507826097e+01
